text,label,processed_text,email_length,word_count,url_count,exclamation_count,dollar_signs,urgent_words
Twitter account suspended for violations. Appeal here: http://fake-twitter.com/appeal,1,twitter account suspended for violations appeal here http fake twitter com appeal,85,8,1,0,0,0
Adobe security alert: Suspicious login detected. Verify here: http://fake-microsoft.com/security,1,adobe security alert suspicious login detected verify here http fake microsoft com security,96,9,1,0,0,0
Bitcoin investment opportunity: 1000% returns guaranteed! Invest now: http://fake-bitcoin.com/invest,1,bitcoin investment opportunity 1000 returns guaranteed invest now http fake bitcoin com invest,100,9,1,1,0,0
Your Amazon account has been suspended. Restore access here: http://fake-amazon.com,1,your amazon account has been suspended restore access here http fake amazon com,83,10,1,0,0,0
"Your password has been successfully updated. If this wasn't you, please contact support.",0,your password has been successfully updated if this wasn t you please contact support,88,13,0,0,0,0
eBay Prime renewal failed. Update payment: http://fake-amazon-prime.com/billing,1,ebay prime renewal failed update payment http fake amazon prime com billing,79,7,1,0,0,0
Dropbox storage full. Upgrade now or lose files: http://fake-dropbox.com/upgrade,1,dropbox storage full upgrade now or lose files http fake dropbox com upgrade,80,9,1,0,0,0
IRS Notice: You owe back taxes. Pay immediately to avoid penalties: http://fake-irs.com,1,irs notice you owe back taxes pay immediately to avoid penalties http fake irs com,87,12,1,0,0,1
Your eBay listing has been removed. Restore it here: http://fake-ebay.com/restore,1,your ebay listing has been removed restore it here http fake ebay com restore,81,10,1,0,0,0
Your timesheet for this period has been approved by your manager.,0,your timesheet for this period has been approved by your manager,65,11,0,0,0,0
IMPORTANT: Your credit card will be charged $300 unless you cancel immediately. Click here: http://scam-site.com,1,important your credit card will be charged 300 unless you cancel immediately click here http scam site com,112,15,1,0,1,1
Your feedback on our recent service has been received. Thank you for your input.,0,your feedback on our recent service has been received thank you for your input,80,14,0,0,0,0
"Congratulations! You have won $10,000 in our lottery. Claim your prize now by clicking here: http://fake-lottery.com",1,congratulations you have won 10 000 in our lottery claim your prize now by clicking here http fake lottery com,116,16,1,1,1,0
Adobe security alert: Suspicious login detected. Verify here: http://fake-microsoft.com/security,1,adobe security alert suspicious login detected verify here http fake microsoft com security,96,9,1,0,0,0
Airbnb booking cancelled due to fraud. Verify identity: http://fake-airbnb.com/verify,1,airbnb booking cancelled due to fraud verify identity http fake airbnb com verify,85,9,1,0,0,0
Your Netflix subscription has expired. Update payment method: http://fake-netflix.com/billing,1,your netflix subscription has expired update payment method http fake netflix com billing,93,9,1,0,0,0
Project update: The new feature has been deployed to production. Please test and provide feedback.,0,project update the new feature has been deployed to production please test and provide feedback,98,15,0,0,0,0
"Tax refund of $2,500 available. Claim here: http://fake-tax.com/refund",1,tax refund of 2 500 available claim here http fake tax com refund,70,8,1,0,1,0
Your eBay account has been suspended. Restore access here: http://fake-amazon.com,1,your ebay account has been suspended restore access here http fake amazon com,81,10,1,0,0,0
Your flight booking confirmation for Flight AA123 on December 15th. Have a great trip!,0,your flight booking confirmation for flight aa123 on december 15th have a great trip,86,14,0,1,0,0
"Congratulations! You have won $10,000 in our lottery. Claim your prize now by clicking here: http://fake-lottery.com",1,congratulations you have won 10 000 in our lottery claim your prize now by clicking here http fake lottery com,116,16,1,1,1,0
Your flight booking confirmation for Flight AA123 on December 15th. Have a great trip!,0,your flight booking confirmation for flight aa123 on december 15th have a great trip,86,14,0,1,0,0
New employee orientation will be held on Monday morning at 9 AM.,0,new employee orientation will be held on monday morning at 9 am,64,12,0,0,0,0
Your PayPal account has been limited. Please verify your account by clicking here: http://fake-paypal.com/verify,1,your paypal account has been limited please verify your account by clicking here http fake paypal com verify,112,14,1,0,0,0
Meeting reminder: Team standup at 10 AM tomorrow in conference room B. Please bring your progress reports.,0,meeting reminder team standup at 10 am tomorrow in conference room b please bring your progress reports,106,17,0,0,0,0
Reminder: Your appointment is scheduled for today at 2 PM. Please arrive 15 minutes early.,0,reminder your appointment is scheduled for today at 2 pm please arrive 15 minutes early,90,15,0,0,0,0
Your flight booking confirmation for Flight DL456 on December 15th. Have a great trip!,0,your flight booking confirmation for flight dl456 on december 15th have a great trip,86,14,0,1,0,0
IMPORTANT: Your credit card will be charged $300 unless you cancel immediately. Click here: http://scam-site.com,1,important your credit card will be charged 300 unless you cancel immediately click here http scam site com,112,15,1,0,1,1
Bank of America: Fraudulent activity detected. Verify account: http://fake-boa.com/verify,1,bank of america fraudulent activity detected verify account http fake boa com verify,89,9,1,0,0,0
Your Netflix subscription has expired. Update payment method: http://fake-netflix.com/billing,1,your netflix subscription has expired update payment method http fake netflix com billing,93,9,1,0,0,0
System maintenance scheduled for this weekend. Services may be briefly interrupted.,0,system maintenance scheduled for this weekend services may be briefly interrupted,83,11,0,0,0,0
"Hi Mike, Hope you're doing well. Just wanted to follow up on our meeting yesterday. Best regards, Sarah",0,hi mike hope you re doing well just wanted to follow up on our meeting yesterday best regards sarah,103,18,0,0,0,0
Your Uber account suspended. Reactivate here: http://fake-uber.com/reactivate,1,your uber account suspended reactivate here http fake uber com reactivate,77,7,1,0,0,0
System maintenance scheduled for this weekend. Services may be briefly interrupted.,0,system maintenance scheduled for this weekend services may be briefly interrupted,83,11,0,0,0,0
Happy Birthday! Wishing you a wonderful day filled with joy and celebration.,0,happy birthday wishing you a wonderful day filled with joy and celebration,76,12,0,1,0,0
Quarterly results presentation scheduled for next Thursday afternoon.,0,quarterly results presentation scheduled for next thursday afternoon,69,8,0,0,0,0
Your PayPal payment failed. Update card details: http://fake-paypal-2.com/update,1,your paypal payment failed update card details http fake paypal 2 com update,80,8,1,0,0,0
"Tax refund of $2,500 available. Claim here: http://fake-tax.com/refund",1,tax refund of 2 500 available claim here http fake tax com refund,70,8,1,0,1,0
Bitcoin investment opportunity: 1000% returns guaranteed! Invest now: http://fake-bitcoin.com/invest,1,bitcoin investment opportunity 1000 returns guaranteed invest now http fake bitcoin com invest,100,9,1,1,0,0
Thank you for your order #12345. Your items will be shipped within 2-3 business days.,0,thank you for your order 12345 your items will be shipped within 2 3 business days,85,15,0,0,0,0
Quarterly results presentation scheduled for next Thursday afternoon.,0,quarterly results presentation scheduled for next thursday afternoon,69,8,0,0,0,0
Your timesheet for this period has been approved by your manager.,0,your timesheet for this period has been approved by your manager,65,11,0,0,0,0
Your travel request has been approved. Booking details will follow shortly.,0,your travel request has been approved booking details will follow shortly,75,11,0,0,0,0
Your Apple Pay account has been limited. Please verify your account by clicking here: http://fake-paypal.com/verify,1,your apple pay account has been limited please verify your account by clicking here http fake paypal com verify,115,15,1,0,0,0
New employee orientation will be held on Monday morning at 9 AM.,0,new employee orientation will be held on monday morning at 9 am,64,12,0,0,0,0
